,servicio,paradero,promedio_bus_hora,geo_parader,geo_parader_lat,geo_parader_lon,calificacion
138,D03I,PD434,0.7916666666666666,0101000020E610000081F022A6B3A451C028F31E50E4BA40C0,-33.4600925589678,-70.5734649029928,0
139,D03I,PD435,5.541666666666667,0101000020E610000080F04D805EA451C085E9D54550BA40C0,-33.4555747313016,-70.5682678948524,2
140,D03I,PD459,0.4583333333333333,0101000020E6100000097B8A5242A351C0992139AF6DBB40C0,-33.4642848042451,-70.5509229996061,0
141,D03I,PD488,8.25,0101000020E6100000FE6D34F5BAA351C040CFCEF5DEBB40C0,-33.4677417049229,-70.5582860004433,1
142,D03I,PD489,7.791666666666667,0101000020E610000009253F1D8FA351C0CB673BEEF7BB40C0,-33.4685037412706,-70.5556100002906,1
143,D03I,PD490,6.625,0101000020E610000026B9ADD15EA351C048A9227117BC40C0,-33.469465391087,-70.5526622959629,1
144,D03I,PD491,7.458333333333333,0101000020E6100000560CA9DC44A351C0B967D07223BC40C0,-33.4698318021396,-70.5510780001508,1
145,D03I,PD492,7.916666666666667,0101000020E6100000803159880BA351C0A818B2313ABC40C0,-33.470525943719,-70.5475788947133,1
146,D03I,PD493,8.25,0101000020E6100000C30DD200DEA251C0655944004DBC40C0,-33.4710998853432,-70.5448000003153,1
147,D03I,PD494,9.041666666666666,0101000020E6100000B60713F3ACA251C0F48F351F61BC40C0,-33.471713925508,-70.5418060003129,1
148,D03I,PD495,8.083333333333334,0101000020E6100000B80E1EA67DA251C037516CD573BC40C0,-33.4722849635022,-70.5389190000086,1
149,D03I,PD496,8.166666666666666,0101000020E61000007585F7A754A251C0F6A9ACD782BC40C0,-33.4727429955564,-70.5364169995499,1
150,D03I,PD497,8.291666666666666,0101000020E6100000D412DD5A26A251C0FE6FC4E195BC40C0,-33.4733240327041,-70.5335909995004,1
151,D03I,PD656,5.416666666666667,0101000020E6100000E13E73B856A351C086CEB3B40EBC40C0,-33.4691987874949,-70.5521679997869,2
152,D03I,PD731,7.166666666666667,0101000020E6100000EF93D6B6A8A151C0A103706BFEBC40C0,-33.4765142723984,-70.5259224982726,1
153,D03I,PD732,7.291666666666667,0101000020E610000099069A3D94A151C01EA73D0756BD40C0,-33.4791878748931,-70.524672890106,1
154,D03I,PD785,6.75,0101000020E6100000EA09C66B5EA451C0B305A1B743BA40C0,-33.4551915680162,-70.5682629999134,1
155,D03I,PD786,7.75,0101000020E610000079617F315BA451C0A469F91A86BA40C0,-33.4572175710521,-70.5680660003617,1
156,D03I,PD787,5.5,0101000020E6100000F4545FCE6CA451C0C27C9CECDBBA40C0,-33.4598365558718,-70.569140999887,2
157,D03I,PD788,4.875,0101000020E61000009F31F0517FA451C02EE45F3543BB40C0,-33.4629885404796,-70.5702710004466,0
158,D03I,PD789,7.375,0101000020E610000061A17B4963A451C0CABF3DE65CBB40C0,-33.4637725640783,-70.5685600001648,1
159,D03I,PD790,8.458333333333334,0101000020E610000070CDC4AA41A451C07B7EB8096EBB40C0,-33.4642955923891,-70.5665079996013,1
160,D03I,PD791,7.833333333333333,0101000020E61000000D4BA96917A451C087DAD6919CBB40C0,-33.4657156275835,-70.5639290002111,1
161,D03I,PD792,8.458333333333334,0101000020E61000005CED3781E9A351C0EB620834C5BB40C0,-33.4669556656789,-70.5611269994892,1
162,D03I,PD793,7.583333333333333,0101000020E6100000F0F92D910BA251C084F9E855A0BC40C0,-33.4736430537769,-70.5319560002315,1
163,D03I,PD794,7.541666666666667,0101000020E61000000092E464E2A151C074A5C114B1BC40C0,-33.4741540856875,-70.5294430000431,1
164,D03I,PD795,7.666666666666667,0101000020E61000000EFBF4F8BDA151C0BCF7F07BBEBC40C0,-33.4745631147957,-70.5272200004949,1
165,D08I,PC112,5.625,0101000020E6100000CE6050E273A451C068073D6329B740C0,-33.4309505508416,-70.5695730004256,2
