,servicio,paradero,tiempo_promedio,geo_parader,geo_parader_lat,geo_parader_lon,calificacion
17,D03I,PD219,2287.5789473684213,0101000020E61000003352B96A9EA451C03644CBD9CABA40C0,-33.4593155138504,-70.5721689996506,0
18,D03I,PD220,2406.333333333333,0101000020E6100000329F6B088EA451C07ECB3E4356BA40C0,-33.4557575279823,-70.5711689997668,0
19,D03I,PD287,834.0970873786408,0101000020E6100000DB57D4B837A451C058973B460DBB40C0,-33.4613426009152,-70.5659010003723,0
20,D03I,PD288,2693.235294117647,0101000020E61000009577887D02A451C0BB56057C31BB40C0,-33.4624476457661,-70.5626519997298,0
21,D03I,PD289,2691.470588235294,0101000020E610000050D8C5A0D7A351C0AA14F83637BB40C0,-33.4626225196201,-70.5600358898239,0
22,D03I,PD290,3241.285714285714,0101000020E61000000F7A71AAB5A351C01CC9D32B38BB40C0,-33.4626517089948,-70.5579630001232,0
23,D03I,PD291,3519.6153846153848,0101000020E6100000BB353D0E9FA351C021F2BDD438BB40C0,-33.4626718451948,-70.55658298471,0
24,D03I,PD292,965.3333333333334,0101000020E6100000551E3C3080A351C0EE36C0E438BB40C0,-33.4626737535999,-70.5546990000815,0
25,D03I,PD293,573.5882352941177,0101000020E610000047B903CE52A351C0126947023ABB40C0,-33.4627077912029,-70.5519290005078,2
26,D03I,PD328,492.4022988505747,0101000020E6100000CBBC9ACE4EA851C0F01E84B5E5B940C0,-33.4523226637956,-70.6298100005253,2
27,D03I,PD329,434.1522842639594,0101000020E610000059963F1C24A851C0290560F8E9B940C0,-33.4524527043198,-70.6272040005655,2
28,D03I,PD330,463.5675675675676,0101000020E61000003151EF74E7A751C0F1C6CC6E03BA40C0,-33.453229761113,-70.6235020005304,2
29,D03I,PD331,463.4054054054054,0101000020E61000000CDA922DBCA751C089619FC30FBA40C0,-33.4536060837009,-70.6208604749774,2
30,D03I,PD332,445.1197916666667,0101000020E6100000ED2FD4BF7BA751C09AA0FDBEFEB940C0,-33.4530867327132,-70.6169280597821,2
31,D03I,PD333,445.5916230366492,0101000020E6100000EEDDE4744AA751C0EB1A24DE02BA40C0,-33.4532125164313,-70.6139194712666,2
32,D03I,PD334,430.80904522613065,0101000020E610000012D586A6ECA651C04DA5C93219BA40C0,-33.4538939938162,-70.6081939999315,2
33,D03I,PD335,414.4492753623188,0101000020E610000055AFB98AC5A651C07F94F59E21BA40C0,-33.454151029503,-70.6058070004777,2
34,D03I,PD336,446.375,0101000020E6100000389E091F77A651C059C6C06831BA40C0,-33.454632848862,-70.6010205835272,2
35,D03I,PD337,390.6545454545454,0101000020E6100000E4A2F40C51A651C03DB714BE3ABA40C0,-33.4549176789428,-70.5986969365145,2
36,D03I,PD338,374.969298245614,0101000020E6100000F3A6EFCE09A651C032D4696D49BA40C0,-33.4553658262961,-70.594348653827,2
37,D03I,PD339,394.9583333333333,0101000020E61000004B20D29FC2A551C087860D374FBA40C0,-33.4555424514811,-70.5900039245618,2
38,D03I,PD340,421.8960396039604,0101000020E61000009C73E90C8CA551C0FA23641C51BA40C0,-33.4556003083198,-70.5866730003167,2
39,D03I,PD341,411.1256038647343,0101000020E6100000973BF1BC54A551C036EAA5AE3BBA40C0,-33.4549463567859,-70.5832970004834,2
40,D03I,PD342,394.3807339449541,0101000020E6100000E5D6DBDB2DA551C021F19C6433BA40C0,-33.4546933904951,-70.5809240004415,2
41,D03I,PD347,2045.3125,0101000020E6100000FBC5BE64F3A751C07C3E4E1029BA40C0,-33.454378164487,-70.6242305624982,0
42,D03I,PD348,1636.25,0101000020E61000008D74E405BBA751C0ACDD154822BA40C0,-33.4541711909072,-70.6207899790772,0
43,D03I,PD349,1294.8939393939395,0101000020E61000004C71476F8FA751C06377A9E52BBA40C0,-33.4544646337006,-70.6181295583421,0
44,D03I,PD350,1569.7619047619048,0101000020E61000003A5296B2C0A651C0158B2B0053BA40C0,-33.4556579792608,-70.6055113285046,0
45,D03I,PD351,1572.571428571429,0101000020E610000097FFCB6C65A651C0859BA99669BA40C0,-33.4563473060762,-70.5999404899761,0
46,D03I,PD352,1125.7297297297298,0101000020E610000038512F7231A651C029CF855177BA40C0,-33.4567663100591,-70.5967679464419,0
47,D03I,PD353,1264.3283582089553,0101000020E610000049807047E7A551C05A5B4AC27DBA40C0,-33.4569628584929,-70.5922411535877,0
48,D03I,PD354,1164.4117647058824,0101000020E61000000F070E4FAFA551C0E8B1F83184BA40C0,-33.4571592773753,-70.5888250004757,0
49,D03I,PD355,1660.25,0101000020E61000004156E19591A551C07625D87F9ABA40C0,-33.457839947262,-70.5870108318859,0
50,D03I,PD356,3162.0476190476197,0101000020E61000002D8C0DAA64A551C0D093D0ECAABA40C0,-33.4583412188,-70.5842690594006,0
51,D03I,PD367,943.8888888888888,0101000020E61000009AB237C137A351C0C72B13D9A7BB40C0,-33.4660598128899,-70.550278000252,0
52,D03I,PD368,795.2727272727273,0101000020E6100000A3A894AE40A351C0D027DCDAD7BB40C0,-33.4675248694399,-70.550822873282,0
53,D03I,PD409,415.3381642512077,0101000020E6100000A43FDC9BE7A451C045D483A029BA40C0,-33.4543953555772,-70.576636281096,2
54,D03I,PD410,362.63713080168776,0101000020E6100000DC86909F8DA451C02D0866CB10BA40C0,-33.4536375282481,-70.5711440001864,2
55,D03I,PD426,615.956834532374,0101000020E610000024ECD47D45A851C06A744090DDB940C0,-33.4520740809174,-70.6292414264031,0
56,D03I,PD427,3654.428571428572,0101000020E61000004BA9BCA440A851C058DFE25009BA40C0,-33.453409300592,-70.6289455263515,0
57,D03I,PD428,3546.190476190476,0101000020E61000006CEF26A12CA851C091DC669337BA40C0,-33.4548210384611,-70.6277239685275,0
58,D03I,PD429,624.9117647058823,0101000020E610000019210A5822A751C09670E5B13DBA40C0,-33.4550077791511,-70.6114711855811,0
59,D03I,PD431,610.294964028777,0101000020E6100000D926179E97A651C03826A4EA5BBA40C0,-33.4559300710211,-70.603004000291,0
60,D03I,PD432,1510.6818181818182,0101000020E6100000D593CB3729A551C03615C722BFBA40C0,-33.4589580032429,-70.5806407440244,0
61,D03I,PD433,1705.6315789473683,0101000020E61000008FDF0262F8A451C0A40F6467D8BA40C0,-33.4597291220264,-70.5776600864467,0
62,D03I,PD434,499.3333333333333,0101000020E610000081F022A6B3A451C028F31E50E4BA40C0,-33.4600925589678,-70.5734649029928,2
63,D03I,PD435,650.0075757575758,0101000020E610000080F04D805EA451C085E9D54550BA40C0,-33.4555747313016,-70.5682678948524,0
64,D03I,PD459,981.1,0101000020E6100000097B8A5242A351C0992139AF6DBB40C0,-33.4642848042451,-70.5509229996061,0
65,D03I,PD488,428.9137055837563,0101000020E6100000FE6D34F5BAA351C040CFCEF5DEBB40C0,-33.4677417049229,-70.5582860004433,2
66,D03I,PD489,455.6827956989248,0101000020E610000009253F1D8FA351C0CB673BEEF7BB40C0,-33.4685037412706,-70.5556100002906,2
67,D03I,PD490,534.879746835443,0101000020E610000026B9ADD15EA351C048A9227117BC40C0,-33.469465391087,-70.5526622959629,2
68,D03I,PD491,469.5955056179776,0101000020E6100000560CA9DC44A351C0B967D07223BC40C0,-33.4698318021396,-70.5510780001508,2
69,D03I,PD492,448.4497354497354,0101000020E6100000803159880BA351C0A818B2313ABC40C0,-33.470525943719,-70.5475788947133,2
70,D03I,PD493,430.0558375634518,0101000020E6100000C30DD200DEA251C0655944004DBC40C0,-33.4710998853432,-70.5448000003153,2
71,D03I,PD494,392.6712962962963,0101000020E6100000B60713F3ACA251C0F48F351F61BC40C0,-33.471713925508,-70.5418060003129,2
72,D03I,PD495,439.9015544041451,0101000020E6100000B80E1EA67DA251C037516CD573BC40C0,-33.4722849635022,-70.5389190000086,2
73,D03I,PD496,439.0205128205128,0101000020E61000007585F7A754A251C0F6A9ACD782BC40C0,-33.4727429955564,-70.5364169995499,2
74,D03I,PD497,435.1262626262626,0101000020E6100000D412DD5A26A251C0FE6FC4E195BC40C0,-33.4733240327041,-70.5335909995004,2
75,D03I,PD656,657.2635658914729,0101000020E6100000E13E73B856A351C086CEB3B40EBC40C0,-33.4691987874949,-70.5521679997869,0
76,D03I,PD731,503.7368421052632,0101000020E6100000EF93D6B6A8A151C0A103706BFEBC40C0,-33.4765142723984,-70.5259224982726,2
77,D03I,PD732,494.7068965517241,0101000020E610000099069A3D94A151C01EA73D0756BD40C0,-33.4791878748931,-70.524672890106,2
78,D03I,PD785,517.4409937888199,0101000020E6100000EA09C66B5EA451C0B305A1B743BA40C0,-33.4551915680162,-70.5682629999134,2
79,D03I,PD786,456.8972972972973,0101000020E610000079617F315BA451C0A469F91A86BA40C0,-33.4572175710521,-70.5680660003617,2
80,D03I,PD787,646.412213740458,0101000020E6100000F4545FCE6CA451C0C27C9CECDBBA40C0,-33.4598365558718,-70.569140999887,0
81,D03I,PD788,730.5172413793103,0101000020E61000009F31F0517FA451C02EE45F3543BB40C0,-33.4629885404796,-70.5702710004466,0
82,D03I,PD789,483.8181818181818,0101000020E610000061A17B4963A451C0CABF3DE65CBB40C0,-33.4637725640783,-70.5685600001648,2
83,D03I,PD790,421.8415841584159,0101000020E610000070CDC4AA41A451C07B7EB8096EBB40C0,-33.4642955923891,-70.5665079996013,2
84,D03I,PD791,452.01069518716577,0101000020E61000000D4BA96917A451C087DAD6919CBB40C0,-33.4657156275835,-70.5639290002111,2
85,D03I,PD792,416.2029702970297,0101000020E61000005CED3781E9A351C0EB620834C5BB40C0,-33.4669556656789,-70.5611269994892,2
86,D03I,PD793,470.55801104972375,0101000020E6100000F0F92D910BA251C084F9E855A0BC40C0,-33.4736430537769,-70.5319560002315,2
87,D03I,PD794,475.43888888888887,0101000020E61000000092E464E2A151C074A5C114B1BC40C0,-33.4741540856875,-70.5294430000431,2
88,D03I,PD795,469.1967213114754,0101000020E61000000EFBF4F8BDA151C0BCF7F07BBEBC40C0,-33.4745631147957,-70.5272200004949,2
0,D08I,PC112,640.9104477611941,0101000020E6100000CE6050E273A451C068073D6329B740C0,-33.4309505508416,-70.5695730004256,0
1,D08I,PC482,604.8098591549295,0101000020E6100000CEF6EA909BA351C08EC692AE18B740C0,-33.4304407326391,-70.5563700003215,0
2,D08I,PC483,618.2794117647059,0101000020E6100000FC5AF5F1D0A351C0D9B853E81CB740C0,-33.4305696877288,-70.5596279998826,0
3,D08I,PC484,617.8561151079136,0101000020E6100000208BB4AA25A451C0E5B1478A24B740C0,-33.43080261708,-70.5647990000839,0
4,D08I,PC485,613.4428571428572,0101000020E6100000376C61BEBCA451C0591E3EA52DB740C0,-33.4310804894746,-70.574019999637,0
5,D08I,PC486,643.6992481203008,0101000020E61000004541EC8502A551C04171C03232B740C0,-33.4312194289837,-70.5782790000131,0
6,D08I,PC975,509.19642857142856,0101000020E61000003CD009C79AA251C0E63D6C2AE1B640C0,-33.4287465122723,-70.5406968684992,2
7,D08I,PC976,572.3557046979865,0101000020E61000003A66F02E17A351C0F7C9482709B740C0,-33.4299668412604,-70.5482899997377,2
8,D08I,PC977,577.9054054054054,0101000020E61000002441852172A351C0BF615C7911B740C0,-33.4302207661708,-70.5538409997285,2
9,D08I,PC978,653.4924242424242,0101000020E61000001C68828F64A551C0AD4EDDB656B740C0,-33.4323338108637,-70.5842627309325,0
10,D08I,PD1000,498.8304093567252,0101000020E6100000D08B65E455A251C02A22EE8235BA40C0,-33.4547580397378,-70.5364924422895,2
11,D08I,PD1001,481.5819209039548,0101000020E61000000423E10852A251C03130B16FEEB940C0,-33.4525889983346,-70.5362569998361,2
12,D08I,PD1002,475.1123595505618,0101000020E610000007D2A31D37A251C0C08002399BB840C0,-33.4422370207044,-70.5346140003022,2
13,D08I,PD1003,759.3214285714286,0101000020E61000003F5E207C28A251C0B1CFF0156DB840C0,-33.4408290315472,-70.533721000299,0
14,D08I,PD1004,498.7309941520468,0101000020E610000095520CF454A251C014CA15C30FB840C0,-33.4379810196298,-70.5364351387346,2
15,D08I,PD1005,504.46783625731,0101000020E6100000C741679361A251C012DC18A5B2B740C0,-33.4351393100152,-70.5372055538529,2
16,D08I,PD1006,498.75882352941176,0101000020E610000095E254F96AA251C064693BB382B740C0,-33.4336761512848,-70.5377791718441,2
17,D08I,PD1377,747.0695652173913,0101000020E6100000DE9E2D573FA551C0781E03CC75B740C0,-33.4332823767881,-70.5819909997476,0
18,D08I,PD1420,527.3086419753087,0101000020E6100000D55BA522F6A151C0847AC0E3C2BA40C0,-33.4590725602948,-70.5306479086715,2
19,D08I,PD1429,248.9682997118156,0101000020E61000002DB5C77F81A151C05F57421A90BD40C0,-33.4809601615841,-70.5235290003081,2
20,D08I,PD1433,514.4909090909091,0101000020E610000064CFB757E6A151C02D040410D1BA40C0,-33.459505083047,-70.5296839995404,2
21,D08I,PD440,491.4425287356322,0101000020E6100000E9819E7425A251C0920B29ABBDBA40C0,-33.4589132261673,-70.533536104958,2
22,D08I,PD441,488.2857142857143,0101000020E610000017FDF6F123A251C0A4E36AD57ABA40C0,-33.4568735858841,-70.5334439193724,2
23,D08I,PD445,480.4745762711864,0101000020E61000001A96C1C58AA251C0868322FBC8B940C0,-33.4514459532284,-70.5397200003139,2
24,D08I,PD544,518.6036585365854,0101000020E6100000272C84EDC5A151C09EE4F0854DBD40C0,-33.4789283205257,-70.5277055540797,2
25,D08I,PD545,556.4771241830065,0101000020E6100000108EF60B01A251C0C9D6869536BD40C0,-33.4782282741922,-70.5313138873828,2
26,D08I,PD546,535.7610062893082,0101000020E6100000366B67B62BA251C07250B0AE28BD40C0,-33.4778040276441,-70.5339180002164,2
27,D08I,PD738,502.6287425149701,0101000020E6100000E26483BEF4A151C06E3C7C8F37BB40C0,-33.4626330715772,-70.5305630000253,2
28,D08I,PD780,580.582191780822,0101000020E610000064BD97C283A251C0CE6D66D87BB940C0,-33.4490919590131,-70.5392919999918,2
29,D08I,PD781,613.007299270073,0101000020E6100000F43E645C71A251C0BCE1C40E45B940C0,-33.4474199735009,-70.5381690005268,0
30,D08I,PD782,515.0484848484848,0101000020E6100000DB78634161A251C0356C8FA415B940C0,-33.4459729862505,-70.5371860000045,2
31,D08I,PD993,505.3941176470588,0101000020E6100000D18E45B75EA251C0CDB7A9060BBD40C0,-33.4768989876462,-70.5370310000683,2
32,D08I,PD994,533.63125,0101000020E6100000FD6E13D55BA251C052FCF28DCBBC40C0,-33.4749619900182,-70.536855000475,2
33,D08I,PD995,491.0402298850575,0101000020E6100000D5D9EE7552A251C0958BFA5888BC40C0,-33.4729109977117,-70.5362830002335,2
34,D08I,PD996,541.874213836478,0101000020E610000037B0705644A251C06F4B9B9D29BC40C0,-33.4700200088763,-70.535420999572,2
35,D08I,PD997,483.2,0101000020E6100000ADC8ACA92CA251C0CB41501DC9BB40C0,-33.4670750276451,-70.5339760005324,2
36,D08I,PD998,476.24444444444447,0101000020E6100000B7D2D7851FA251C0F7E6150D8DBB40C0,-33.4652420384354,-70.5331740005157,2
37,D08I,PD999,514.3975903614457,0101000020E6100000CB0BDB183BA251C0211FEC4274BA40C0,-33.4566730168283,-70.5348570002672,2
